제목,주소,키워드,종목코드,날짜
'명품·폭염' 덕에 웃은 백화점·마트...편의점은 울상,http://biz.chosun.com/site/data/html_dir/2018/10/31/2018103101714.html,"유명 브랜드
매출 늘
백화점 매출
주영훈
백화점 상품 별
매출 액 전체
훌쩍
신장 률 어가 ,
늘 며
소매 유통업체 1000 개사",023530,2018-10-31
올해 빼빼로데이 22주년…누적 매출 1조3000억원,http://biz.chosun.com/site/data/html_dir/2018/10/31/2018103102379.html,"롯데 제과 ( 280360 ) 빼빼로
빼빼로 과자 시장
과자 시장 전체
전체 통틀어
통틀어 1 위
역할
학생 11 월
11 월 11 일
날씬 해지 고
빼빼로데이 기념일",280360,2018-10-31
"롯데케미칼, 3분기 영업익 5036억…\원료가 상승·수요 위축\""""",http://biz.chosun.com/site/data/html_dir/2018/11/01/2018110102584.html,"전 분기 대비
대비 실적
사업 전망
전망 대해
대해 대외
대외 불확실
불확실 지속 ,
지속 , 원료
원료 상승 ,
상승 , 울산 공장",011170,2018-11-01
롯데케미칼 울산 1공장 냉각탑서 화재…인명피해 없어,http://biz.chosun.com/site/data/html_dir/2018/10/31/2018103102180.html,"현장 목격자
목격자 공장
화재 경위
경위 피해
피해 규모
규모 조사
울산 남구
31 일 12 시
12 시 화재
공장 건물",011170,2018-10-31
[마켓뷰] 소방수 연기금 등장에 엿새만에 상승…개미는 이틀간 1.4조 손절,http://biz.chosun.com/site/data/html_dir/2018/10/30/2018103002282.html,"순 매수 반면
정부 자동차
자동차 소비 세
소비 세 인하
인하 결정 ,
결정 , 은행
은행 3 분기
호실 발표
1 % 대의 견조
견조 상승세",204320,2018-10-30
"[특징주] 만도, 장 초반 외국인 매수에 상승세",http://biz.chosun.com/site/data/html_dir/2018/10/30/2018103000879.html,"중국 자동차
자동차 산업
산업 불확실
불확실 확대
확대 등
등 이익
4 만원 기존
목표 주가 4 만 5000 원
전날 3 분기
3 분기 부진",204320,2018-10-30
"코스피지수 2050선 회복…\무역분쟁 완화 기대감이 호재\""""",http://biz.chosun.com/site/data/html_dir/2018/11/02/2018110200866.html,"트럼프 대통령
시진핑 주석
1 일
주석 트럼프
대통령 통화
합의 공동
관계
촉진 바란 고
완화 것
밤 사이 ( 미국",086900,2018-11-02
[마켓뷰] 中증시 약세에 코스피도 뒷심부족…기관 이틀째 '팔자',http://biz.chosun.com/site/data/html_dir/2018/11/01/2018110102679.html,"경기 회복
회복 대한
연구원 당분간
코스피지수 2000 선
2000 선 전후
11 월 초 중순
초 중순 한국
증시 안전판
안전판 확보
이경민 대신 증권",086900,2018-11-01
"코스피지수 상승 출발…\페이스북 호실적·북미 고위회담이 호재\""""",http://biz.chosun.com/site/data/html_dir/2018/11/01/2018110100894.html,"서상영 증권
상승 마감 덕분
덕분 한국
증시 투자
투자 심리
심리 개선
개선 다음
주 미국
미국 북한
회담 개최",086900,2018-11-01
美 증시 호재에도 코스피지수 하락…장 중 2020선 반짝 회복,http://biz.chosun.com/site/data/html_dir/2018/10/31/2018103100877.html,"증권 연구원
연구원 트럼프
트럼프 대통령
대통령 중국
중국
합의
미국
반발
유입 고
기관",086900,2018-10-31
"미래에셋대우, 해외채권 3억달러 발행 성공",http://biz.chosun.com/site/data/html_dir/2018/11/01/2018110101620.html,"미래에셋 대우 ( 006800 ) 지난달
지난달 31 일
31 일 국내
국내 증권사
증권사 최초
최초 미국
미국 달러화
달러화 표시
표시 채권
발행 1 일",006800,2018-11-01
"바이넥스, 중국 즈언제약과 바이오시밀러 기술이전계약 체결",http://biz.chosun.com/site/data/html_dir/2018/11/01/2018110100841.html,"중국 내
바이 넥스 관계자
항체
규모 1 차
공동
부지
생산 시설 건설
건설 등
등 진행
관계자 이번",053030,2018-11-01
[마켓뷰] 트럼트 트위터 한 줄에 시총 '56조원' 급증,http://biz.chosun.com/site/data/html_dir/2018/11/02/2018110202378.html,"김영환
김영환 KB 증권
KB 증권 연구원
연구원 전날
증시 종료
종료 후
애플 4 분기
4 분기 매출
시간 외
6 %",084990,2018-11-02
